answer,qid
a Fox a Stork,fables-04-1
"A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.",fables-04-2
in a flat and large dish,fables-04-3
The fox believed that distress was amusing.,fables-04-4
a Fox invite a Stork,fables-04-5
The fox began to be hungry and began to be helpless because he wasn't able to reach some food that was in the pitcher.,fables-04-6
The stork shortly invited the fox to dine.,fables-04-7
"Thus, while she enjoyed her dinner, the Fox sat by hungry and helpless, for it was impossible for him to reach the tempting contents of the vessel.",fables-04-8
"A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.",fables-04-9
the stork,fables-04-10
The stork presented the fox with a pitcher.,fables-04-11
The fox began to be hungry and began to be helpless because he wasn't able to reach some food that was in the pitcher.,fables-04-12
The fox believed that distress was amusing.,fables-04-13
Eagle Serpent,fables-03-1
a Eagle,fables-03-2
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.,fables-03-3
"a countryman , who be a witness of the encounter",fables-03-4
But the Serpent was too quick for him and had its coils round him in a moment; and then there ensued a life-and-death struggle between the two.,fables-03-5
upon a serpent,fables-03-6
The countryman decided to sip from the drinking vessel.,fables-03-7
the eagle the drinking vessel,fables-03-8
"The eagle fought with the serpent, and the serpent coiled around him.",fables-03-9
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-10
"Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.",fables-03-11
In revenge the Serpent spat some of his poison into the man's drinking-horn.,fables-03-12
a Eagle,fables-03-13
the Serpent,fables-03-14
Eagle Serpent,fables-03-15
"a countryman , who be a witness of the encounter",fables-03-16
A countryman who owned a drinking vessel tried to help the eagle to escape.,fables-03-17
"a countryman , who be a witness of the encounter",fables-03-18
"The eagle fought with the serpent, and the serpent coiled around him.",fables-03-19
But the Serpent was too quick for him and had its coils round him in a moment; and then there ensued a life-and-death struggle between the two.,fables-03-20
the man,fables-03-21
a young man,blogs-02-1
on my front lawn,blogs-02-2
I,blogs-02-3
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.,blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.,blogs-02-5
"Later, when I was visiting the place where he died, I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him.",blogs-02-6
my logical mind,blogs-02-7
a young man the motorbike of the young man,blogs-02-8
the narrator,blogs-02-9
Lol PS,blogs-02-10
The narrator began to wonder that the flash was an orb,blogs-02-11
The narrator saw some bright flash in a group of trees that was above the narrator.,blogs-02-12
a young man,blogs-02-13
on the front yard of a narrator,blogs-02-14
a young man the motorbike of the young man,blogs-02-15
the narrator,blogs-02-16
the squirrel the bowl,blogs-04-1
the bird themselves,blogs-04-2
The squirrel's paw slipped off the deck's railing.,blogs-04-3
The birds bathed themselves in the bowl.,blogs-04-4
squirrel,blogs-04-5
"But oh, if you could have seen the look on benjamin startled face and how benjamin jumped back each time benjamin caught benjamin reflection in the bowl!",blogs-04-6
This is one of those times I wish I had a digital camera.,blogs-04-7
we a large steel bowl of water outside,blogs-04-8
on the railing,blogs-04-9
on the deck,blogs-04-10
