answer,qid
in a lair,fables-06-1
"the mouse , terrify he",fables-06-2
"The idea of so insignificant a creature ever being able to do anything for him amused the Lion so much that he laughed aloud, and good-humouredly let it go.",fables-06-3
"One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.",fables-06-4
The lion awaked because a mouse ran into the face of the lion.,fables-06-5
a trapper some net,fables-06-6
the lion himself,fables-06-7
The mouse immediately began gnawing the rope of the net with the tooth of the mouse.,fables-06-8
A Lion asleep in his lair was waked up by a Mouse running over his face.,fables-06-9
A trapper spread some net in order to catch a big game.,fables-06-10
the mouse,fables-06-11
The mouse recognized the voice of the lion.,fables-06-12
"Without more ado it set to work to gnaw the ropes with its teeth, and succeeded before long in setting the Lion free.",fables-06-13
a trapper some net,fables-06-14
the mouse gnawing the rope of the net with the tooth of the mouse,fables-06-15
The lion began attacking the mouse.,fables-06-16
the lion himself,fables-06-17
The lion was sleeping in a lair.,fables-06-18
Losing his temper he seized it with his paw and was about to kill it.,fables-06-19
Losing his temper he seized it with his paw and was about to kill it.,fables-06-20
Losing his temper he seized it with his paw and was about to kill it.,fables-06-21
Yes,fables-06-22
"The idea of so insignificant a creature ever being able to do anything for him amused the Lion so much that he laughed aloud, and good-humouredly let it go.",fables-06-23
"But the Mouse's chance came, after all.",fables-06-24
"the mouse , terrify entreat he",fables-06-25
a Lion and a Mouse,fables-06-26
A Lion asleep in his lair was waked up by a Mouse running over his face.,fables-06-27
even a mouse,fables-06-28
Louisiana was adversely affected by Hurricane Gustav.,blogs-03-1
"Here's what happened to me and my family:
We watched the storm moving in all of last weekend on the Weather Channel and local news.",blogs-03-2
Winds started kicking up.,blogs-03-3
President Bush,blogs-03-4
in Louisiana,blogs-03-5
to a store name Home Depot in order purchase a portable generator,blogs-03-6
An area of a neighborhood of the narrator had a large group of pine trees and had a group of oak trees.,blogs-03-7
The narrator began to be nervous because it owned a group of trees and near the house of the narrator.,blogs-03-8
to the house of the parent of the narrator,blogs-03-9
the narrator a group of car,blogs-03-10
a area of a neighborhood of the narrator a large group of pine tree,blogs-03-11
The tree split apart and fell on the yard of a neighbor.,blogs-03-12
the narrator,blogs-03-13
"The narrator began to be concerned because -- if the first tree were to later fall, and were to later fall on the house of the narrator -- the house of the narrator would have begun to be damaged, and the family of the narrator would begin to be wounded.",blogs-03-14
in a area of the home where we feel safest,blogs-03-15
The narrator began to be nervous because it owned a group of trees and near the house of the narrator.,blogs-03-16
The narrator purchased an important group of things.,blogs-03-17
the narrator,blogs-03-18
in Louisiana,blogs-03-19
the narrator a group of car,blogs-03-20
An oven broke because the broiler of the oven activated.,blogs-06-1
The oven scorched a group of treats and created some fire.,blogs-06-2
the husband of the narrator,blogs-06-3
The husband of the narrator quickly shut the door of the oven in order to prevent the fire spreading.,blogs-06-4
a couple of week a fire,blogs-06-5
The oven malfunctioned... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck??...,blogs-06-6
I ran and got a fire extinguisher.,blogs-06-7
Luckily the fire extinguisher worked but our stove was toast.,blogs-06-8
"Since then we have been using a plug-in burner, griddle, and counter top oven.",blogs-06-9
An oven broke because the broiler of the oven activated.,blogs-06-10
to the ceiling of the house,blogs-06-11
The fire ascended to the ceiling of the house.,blogs-06-12
The husband of the narrator and the narrator used some griddle and used a toaster oven.,blogs-06-13
So excited about my new range I ordered a few days ago.,blogs-06-14
my husband went to get a batch of cookies and found them in flames.,blogs-06-15
The fire ascended to the ceiling of the house.,blogs-06-16
the husband of the narrator,blogs-06-17
An oven broke because the broiler of the oven activated.,blogs-06-18
The oven malfunctioned... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck??...,blogs-06-19
A couple of weeks ago we had a fire in our old oven/range.,blogs-06-20
He opened the oven door and the flames shot all the way up to the ceiling!!!,blogs-06-21
He tried to put the fire out unsuccessfully and then quickly shut the door to keep the fire from spreading.,blogs-06-22
He opened the oven door and the flames shot all the way up to the ceiling!!!,blogs-06-23
Nothing got damaged besides the range but it took days of airing the house out and cleaning before things were 100% back to normal.,blogs-06-24
on a branch of a tree with a piece of cheese,fables-01-1
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.,fables-01-2
a cheese and a Fox,fables-01-3
a fox observe the crow,fables-01-4
"The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.",fables-01-5
The crow was sitting on a branch of a tree.,fables-01-6
the crow,fables-01-7
The crow was sitting on a branch of a tree.,fables-01-8
of the crow,fables-01-9
a crow,fables-01-10
a fox the crow,fables-01-11
The fox said that the beauty of the bird was incomparable.,fables-01-12
A fox observed the crow and tried to discover how to get the cheese.,fables-01-13
the fox,fables-01-14
a fox the crow,fables-01-15
the fox the cheese,fables-01-16
the crow,fables-01-17
the fox,fables-01-18
a Lion a fat bull feeding,fables-02-1
the Bull,fables-02-2
There once was a fat bull.,fables-02-3
a bull and a lion and a horn,fables-02-4
a lion the bull,fables-02-5
The lion walked toward the bull and began to feign that the lion was friendly.,fables-02-6
a Bull,fables-02-7
a Bull,fables-02-8
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-9
The lion didn't attack the bull because the lion feared sharp every horn of the bull.,fables-02-10
The lion didn't attack the bull because the lion feared sharp every horn of the bull.,fables-02-11
"Hunger, however, presently compelled him to do something: and as the use of force did not promise success, he determined to resort to artifice.",fables-02-12
a lion the bull,fables-02-13
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-14
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.,fables-02-15
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.,fables-02-16
The lion began to be hungry and decided to attempt to kill the bull.,fables-02-17
There once was a fat bull.,fables-02-18
the lion the bull,fables-02-19
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-20
The lion began to be hungry and decided to attempt to kill the bull.,fables-02-21
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-22
the lion,fables-02-23
today,blogs-01-1
A summit meeting named G20 summit started on eventful today.,blogs-01-2
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot.,blogs-01-3
The people burned a police car and threw a thing at a police.,blogs-01-4
the people,blogs-01-5
the people,blogs-01-6
The people burned a police car and threw a thing at a police.,blogs-01-7
the people a police car,blogs-01-8
